name,adresse,telefon,website,hat_website,score,probleme,empfehlung,types
Weinhaus Bluhm,"Badergasse 1, 55116 Mainz, Deutschland",06131 4906343,https://weinhaus-bluhm.de/,True,78,feste Pixel-Breite; keine Media Queries,OK,"restaurant,wine_bar,bar,food,point_of_interest,establishment"
Das Nest Café/Bistro/Afterwork,"Kaiser-Wilhelm-Ring 40, 55118 Mainz, Deutschland",06131 4807119,https://www.das-nest-mainz.de/,True,78,feste Pixel-Breite; keine Media Queries,OK,"cafe,bistro,bar,restaurant,food,point_of_interest,establishment"
Günay’s Café – Mainz,"Mittlere Bleiche 9, 55116 Mainz, Deutschland",0163 8218787,https://guenays-cafe.de/,True,78,alte jQuery; keine Media Queries,OK,"cafe,catering_service,bistro,food_delivery,dessert_restaurant,coffee_shop,middle_eastern_restaurant,turkish_restaurant,breakfast_restaurant,bakery,food_store,store,service,restaurant,food,point_of_interest,establishment"
Trattoria Da Arnaldo,"Wallstraße 56, 55122 Mainz, Deutschland",06131 320526,https://www.trattoria-da-arnaldo-mainz.de/,True,78,<font>-Tags; keine Media Queries,OK,"italian_restaurant,restaurant,food,point_of_interest,establishment"
Aposto Mainz,"Gutenbergpl. 8-10, 55116 Mainz, Deutschland",06131 6931620,https://www.aposto.eu/restaurants/mainz/,True,80,IE-Kompatibilität; keine Media Queries,OK,"italian_restaurant,restaurant,food,point_of_interest,establishment"
Hanoi,"Münsterstraße 17-19, 55116 Mainz, Deutschland",06131 6962302,http://hanoi-mainz.de/,True,80,<font>-Tags; feste Pixel-Breite,OK,"vietnamese_restaurant,restaurant,food,point_of_interest,establishment"
HANS IM GLÜCK - MAINZ Gutenbergplatz,"Gutenbergpl. 6, 55116 Mainz, Deutschland",06131 926604,https://hansimglueck-burgergrill.de/burger-restaurant/mainz-gutenbergplatz/?utm_source=google&utm_medium=yext&utm_campaign=33,True,80,IE-Kompatibilität; Copyright bis 1998,OK,"hamburger_restaurant,vegan_restaurant,lounge_bar,vegetarian_restaurant,night_club,bar_and_grill,bar,american_restaurant,restaurant,food,point_of_interest,establishment"
Zeitungsente,"Neubrunnenstraße 7, 55116 Mainz, Deutschland",06131 222728,http://www.zeitungsente-mainz.de/,True,80,<center>-Tags; keine Media Queries,OK,"pub,beer_garden,cafe,bar,restaurant,food,point_of_interest,establishment"
SkyBistro 360,"Kaiserstraße 98, 55116 Mainz, Deutschland",015567 269767,https://sites.google.com/view/skybistro360/startseite,True,80,IE-Kompatibilität; keine Media Queries,OK,"restaurant,food,point_of_interest,establishment"
Bellini’s Herzstück,"Adam-Karrillon-Straße 4, 55118 Mainz, Deutschland",0177 7318456,https://sellwerk.de/firmenprofil/bellinis-herzstueck,True,80,IE-Kompatibilität; keine Media Queries,OK,"bar,cafe,food,point_of_interest,establishment"
Gusto,"Heidesheimer Str. 1, 55124 Mainz, Deutschland",06131 1449049,http://www.gusto-winebar-mainz.de/,True,80,IE-Kompatibilität; keine Media Queries,OK,"italian_restaurant,restaurant,food,point_of_interest,establishment"
Pizzeria Il Pomodoro,"Steingasse 25, 55116 Mainz, Deutschland",06131 3044054,http://www.ilpomodoro-mainz.com/,True,80,IE-Kompatibilität; keine Media Queries,OK,"pizza_restaurant,italian_restaurant,restaurant,food,point_of_interest,establishment"
Ânima & Coré,"Gaustraße 73, 55116 Mainz, Deutschland",06131 1433240,https://www.animaundcore.de/,True,80,IE-Kompatibilität; keine Media Queries,OK,"pizza_restaurant,restaurant,food,point_of_interest,establishment"
