name,adresse,telefon,website,hat_website,score,probleme,empfehlung,types,final_url,https,viewport,score,probleme,empfehlung,status,fehler
heimat-mainz,"Spritzengasse 2, 55116 Mainz, Deutschland",06131 2499434,https://heimat-mainz.de/,True,75,kein Mobile-Viewport,OK – ggf. kleine Updates,"german_restaurant,european_restaurant,restaurant,food,point_of_interest,establishment",https://heimat-mainz.de/,True,False,75,kein Mobile-Viewport,OK – ggf. kleine Updates,308,
Corfu Mainz,"Schillstraße 15, 55131 Mainz, Deutschland",06131 6694841,https://corfumainz.de/?utm_source=google_business_profile&utm_medium=button&utm_tracking_link_id=3cf62558-6d44-4cb5-9c70-cea3c69c54d4,True,75,kein Mobile-Viewport,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://corfumainz.de/,True,False,75,kein Mobile-Viewport,OK – ggf. kleine Updates,308,
La Siciliana Mainz,"Heuerstraße 14A, 55129 Mainz, Deutschland",06131 6334692,https://lasicilianamainz.de/,True,75,kein Mobile-Viewport,OK – ggf. kleine Updates,"italian_restaurant,pizza_delivery,pizza_restaurant,meal_delivery,food_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",https://lasicilianamainz.de/,True,False,75,kein Mobile-Viewport,OK – ggf. kleine Updates,308,
Hà Nội Phố,"Neubrunnenstraße 3, 55116 Mainz, Deutschland",06131 2400505,https://hanoipho.günstigbestellen.de/,True,75,kein Mobile-Viewport,OK – ggf. kleine Updates,"vietnamese_restaurant,meal_delivery,food_delivery,noodle_shop,meal_takeaway,japanese_restaurant,restaurant,food,point_of_interest,establishment",https://hanoipho.günstigbestellen.de/,True,False,75,kein Mobile-Viewport,OK – ggf. kleine Updates,400,
Asia Mai-Linh,"Philipp-Reis-Straße 13, 55129 Mainz, Deutschland",06131 501308,https://mai-linh.günstigbestellen.de/,True,75,kein Mobile-Viewport,OK – ggf. kleine Updates,"asian_restaurant,thai_restaurant,restaurant,point_of_interest,food,establishment",https://mai-linh.günstigbestellen.de/,True,False,75,kein Mobile-Viewport,OK – ggf. kleine Updates,400,
Pizzeria Sole,"Pariser Str. 20, 55131 Mainz, Deutschland",06131 6968999,http://www.sole-mainz.de/,True,75,Tabellen-Layout; feste Pixel-Breite,OK – ggf. kleine Updates,"pizza_restaurant,italian_restaurant,meal_takeaway,restaurant,point_of_interest,food,establishment",https://sole-mainz.de/,True,True,75,Tabellen-Layout; feste Pixel-Breite,OK – ggf. kleine Updates,200,
Gudn. Restaurant & Weingarten,"Breite Str. 65, 55124 Mainz, Deutschland",06131 6968543,http://www.gudn-food.de/,True,75,HTML4/XHTML Doctype; feste Pixel-Breite,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://www.gudn-food.de/,True,True,75,HTML4/XHTML Doctype; feste Pixel-Breite,OK – ggf. kleine Updates,200,
Zenbi - Sushi Mainz & Asiatisches Fusion Restaurant,"Rotekopfgasse 2, 55116 Mainz, Deutschland",06131 6062648,https://zenbi-mainz.de/,True,75,kein Mobile-Viewport,OK – ggf. kleine Updates,"sushi_restaurant,japanese_restaurant,asian_fusion_restaurant,fusion_restaurant,asian_restaurant,restaurant,food,point_of_interest,establishment",https://zenbi-mainz.de/,True,False,75,kein Mobile-Viewport,OK – ggf. kleine Updates,200,
Geberts Weinstuben,"Frauenlobstraße 94, 55118 Mainz, Deutschland",06131 611619,http://www.geberts-weinstuben.de/,True,76,keine Media Queries; Copyright bis 1998,OK – ggf. kleine Updates,"german_restaurant,european_restaurant,bar,restaurant,food,point_of_interest,establishment",https://www.geberts-weinstuben.de/,True,True,76,keine Media Queries; Copyright bis 1998,OK – ggf. kleine Updates,200,
Bellpepper Restaurant & Terrasse,"Templerstraße 6, 55116 Mainz, Deutschland",06131 7311537,https://www.bellpepper.de/?utm_source=googlebusinessprofile&utm_medium=organic&utm_campaign=website,True,77,Tabellen-Layout; IE-Kompatibilität,OK – ggf. kleine Updates,"restaurant,fine_dining_restaurant,food,point_of_interest,establishment",https://www.bellpepper.de/,True,True,77,Tabellen-Layout; IE-Kompatibilität,OK – ggf. kleine Updates,200,
